Summary,Custom field (Story Points),Assignee_count,Reporter_count,Creator_count
Too many references not selected for DC2 data calibrateImage  ,1.0,0.08761189533482527,0.43282700421940934,0.5083237657864523
Protect against zeroed weights from NO_DATA regions in getTemplate,1.0,0.10570235840936479,0.5227617951668585,0.40126291618828935
Update donut_viz repo to run tasks on CWFS data,2.0,0.028759252883456703,0.09239739163789797,0.08553386911595867
Avoid deprecation warnings from GAaP in v29,1.0,0.04982570149767602,0.16285385500575372,0.08266360505166476
"Enable MTM1M3, MTMount and MTVMS telemetry replication after Kafka topic repartitioning at the Summit",1.0,0.12500645550008607,0.4227617951668585,0.4018369690011481
Mobu: put full notebook path name in app metrics events,1.0,0.006369426751592356,0.02243958573072497,0.02238805970149254
Migrate x86 to 12 cpu per worker,1.0,0.011499397486658633,0.04152665899501343,0.02812858783008037
Update defaults in workflow for docker new install,1.0,0.011499397486658633,0.04152665899501343,0.02812858783008037
Investigate using Astropy for remote access of butler Exposure component reads,4.0,0.2200098984334653,0.7079785193709245,0.44144661308840416
Set is_negative flag for negative-detected diffim sources,2.0,0.14227707006369428,0.5408822401227464,0.26693455797933413
Add paramiko to rubin env 10,1.0,0.011499397486658633,0.04152665899501343,0.02812858783008037
Update Dind in snowflake,1.0,0.011499397486658633,0.04152665899501343,0.02812858783008037
Fix dataset type definitions in DESC Butler repo,5.0,0.19697452229299361,0.4906482546988876,0.1624569460390356
Add ComCam config overrides for MakeDirectWarpTask and MakePsfMatchedWarpTask,1.0,0.04982570149767602,0.7992481779823553,0.6943168771526981
Adopt uv lock files and new Docker build techniques for Gafaelfawr,3.0,0.0805108452401446,0.2710011507479862,0.2703788748564868
Add support for multiple domains in Gafaelfawr,4.0,0.0805108452401446,0.2710011507479862,0.2703788748564868
Investigate and fix low-hanging fruit fitsverify warnings,4.0,0.2200098984334653,0.7079785193709245,0.44144661308840416
Create bookkeeping task to enable parallelization of donut stamp cutouts in AOS pipeline running on CWFS,3.0,0.028759252883456703,0.09239739163789797,0.08553386911595867
Phalanx re-installation on Yagan after the cluster encryption,3.0,0.12500645550008607,0.4227617951668585,0.4018369690011481
Bug in ReprocessVisitImage visit id handling,1.0,0.14227707006369428,0.5408822401227464,0.26693455797933413
Phalanx re-installation on Manke after the cluster encryption,6.0,0.12500645550008607,0.4227617951668585,0.4018369690011481
analysis_tools matched magnitude difference plots have wrong sign,2.0,0.04252237906696506,0.16438051400076717,0.11079219288174512
MultiProFit object table null float columns are zero instead of nan,2.0,0.04252237906696506,0.16438051400076717,0.11079219288174512
Configure IDF Butler to use SLAC S3,2.0,0.020672663108968842,0.04948216340621404,0.04936854190585534
Work on parellel testing of M1M3 force actuators,3.0,0.19104837321397833,0.7187802071346375,0.23765786452353618
Ook: Routine upgrades and resolve emergent CI errors,2.0,0.1612756068170081,0.5752819332566168,0.3926521239954076
"Mobu: CI - always test all files in PR, not commit",2.0,0.0,0.02243958573072497,0.02238805970149254
Create app to display CSCs versions-0 ,2.0,0.0027070063694267514,0.00863060989643268,0.008610792192881746
Call to put summit back together,1.0,0.0027070063694267514,0.00863060989643268,0.008610792192881746
Work on debugging issue with ATHexapod segfaulting on BTS,2.0,0.0788905147185402,0.24876102800153432,0.2233065442020666
Decrease client logging on TunableLaser,2.0,0.0788905147185402,0.24876102800153432,0.2233065442020666
Work on Cycle build 40,4.0,0.0788905147185402,0.24876102800153432,0.2233065442020666
SP-only: DM-46005 Create a SAL script to open the vent gates and run the fan,2.0,0.015452315372697537,0.055772919064058304,0.02238805970149254
Convert brighterFatterCorrection to 64-bit operations,2.0,0.011152952315372697,0.023452243958573073,0.003444316877152698
Fix ip_isr test failure on Linux ARM due to incorrect 32-bit float comparison,1.0,0.016788603890514717,0.038649789029535864,0.025258323765786454
Create Release from d_2025_02_17 Prompt Processing Service,3.0,0.01819375107591668,0.08186421173762946,0.021814006888633757
Update pytest-profiling in rubin env 10,1.0,0.011499397486658633,0.04152665899501343,0.02812858783008037
Make config validation for property maps more reliable in analysis_tools,1.0,0.016788603890514717,0.038649789029535864,0.025258323765786454
idfprod mobu github ci app,1.0,0.006369426751592356,0.02243958573072497,0.02238805970149254
Make testdata packages Optional for lsst_ci,1.0,0.011499397486658633,0.04152665899501343,0.02812858783008037
Set image pixel units for public DP1 data products,11.0,0.07483215699776209,0.7992481779823553,0.6943168771526981
Log SP for second sprint work in the implementation of LOVE-frontend glycol system display,3.0,0.022292993630573247,0.07882623705408516,0.07864523536165327
Release new datalinker,1.0,0.0805108452401446,0.2710011507479862,0.2703788748564868
Develop the Rotator and Hexapod Python GUIs in Phase 8,1.0,0.09761146496815286,0.3693517453011124,0.3358208955223881
Improve the Automatic Resize of y-axis in the Real-Time Figure,1.0,0.09761146496815286,0.3693517453011124,0.3358208955223881
