Summary,Custom field (Story Points),Assignee_count,Reporter_count,Creator_count
Add secrets support to the CSI volume managers,5.0,0.4779868222592681,0.6985171840354767,0.40909090909090906
Refactor CSI volume manager to support pre-provisioned CSI volumes,5.0,0.4779868222592681,0.3000970066518847,0.44034090909090906
Add documentation for task resource limits,2.0,0.4779868222592681,0.3000970066518847,0.44034090909090906
Reactivating a draining agent leaves the agent in draining state.,3.0,0.3282017543859649,0.6599916851441241,0.35511363636363635
Agent draining logging makes it hard to tell which tasks did not terminate.,1.0,0.3282017543859649,0.6599916851441241,0.35511363636363635
Master's agent draining VLOG prints incorrect task counts.,1.0,0.3282017543859649,0.6599916851441241,0.35511363636363635
Adapt design for executor domain sockets for agent restarts,5.0,0.26728696741854635,0.16449556541019955,0.08238636363636365
Implement SSL downgrade on the native SSL socket,3.0,0.39040723981900455,0.5641629711751663,0.29261363636363635
Implement chmod() support for stout,1.0,0.26728696741854635,0.16449556541019955,0.08238636363636365
Let the command executor connect through a domain socket when available,3.0,0.26728696741854635,0.16449556541019955,0.08238636363636365
Add a new reason in `TaskStatus::Reason` for the case that a task is OOM-killed due to exceeding its memory request,1.0,0.4779868222592681,0.3000970066518847,0.44034090909090906
Validate task's resources limits and the `share_cgroups` field,3.0,0.4779868222592681,0.3000970066518847,0.44034090909090906
Add a new capability `TASK_RESOURCE_LIMITS` into Mesos agent,1.0,0.4779868222592681,0.3000970066518847,0.44034090909090906
Libprocess SSL verification can leak memory,1.0,0.26728696741854635,0.6985171840354767,0.6590909090909091
Agent's 'executorTerminated()' can cause double task status update,3.0,0.4779868222592681,0.6985171840354767,0.40909090909090906
Log all reverse DNS lookup failures in 'legacy' TLS (SSL) hostname validation scheme.,1.0,0.3282017543859649,0.6599916851441241,0.35511363636363635
Add a benchmark for HierarchicalAllocatorProcess::updateAllocation() ,5.0,0.41327067669172934,0.11252771618625278,0.29545454545454547
"Implement an SSL socket for Windows, using OpenSSL directly",5.0,0.39040723981900455,0.5641629711751663,0.29261363636363635
Implement glue code for the Windows event loop and OpenSSL's basic I/O abstraction,3.0,0.39040723981900455,0.5641629711751663,0.29261363636363635
Very large quota values can crash master.,3.0,0.3282017543859649,0.11252771618625278,0.29545454545454547
Command executor can miss exit status for short-lived commands due to double-reaping.,1.0,0.3282017543859649,0.006097560975609756,0.25
Design doc for SSL on Windows,3.0,0.39040723981900455,0.6985171840354767,0.6590909090909091
Design doc for container bursting,5.0,0.4779868222592681,0.6985171840354767,0.40909090909090906
Add end-to-end test excercising re-reservation operator API,3.0,0.26728696741854635,0.9346590909090908,0.6846590909090908
Consolidate 'Master::authorizeReserveResources' overloads,1.0,0.26728696741854635,0.9346590909090908,0.6846590909090908
Update 'Master::Http::_reserve' to pass 'source' into generated operation,1.0,0.26728696741854635,0.9346590909090908,0.6846590909090908
Add 'source' field to scheduler reservation API,1.0,0.26728696741854635,0.9346590909090908,0.6846590909090908
Update 'Master::Http::_reserve' to also require 'source' resources,2.0,0.26728696741854635,0.9346590909090908,0.6846590909090908
Update 'getConsumedResources' and 'getResourceConversions' for 'source' in reservations,1.0,0.26728696741854635,0.9346590909090908,0.6846590909090908
Update validation of 'ReserveResources' for 'source',1.0,0.26728696741854635,0.9346590909090908,0.6846590909090908
"Provide a function to compute a common ""reservation ancestor"" between two 'Resources'",2.0,0.26728696741854635,0.9346590909090908,0.6846590909090908
Intermediate rejection of Reserve operations with source set,1.0,0.26728696741854635,0.9346590909090908,0.6846590909090908
Add a 'source' field to operator API ReserveResources protobuf,1.0,0.26728696741854635,0.9346590909090908,0.6846590909090908
Sorter may leak clients allocations.,2.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Update Names for TLS-related environment variables in libprocess.,5.0,0.26728696741854635,0.16449556541019955,0.08238636363636365
"'dist' and 'distcheck' cmake targets are implemented as shell scripts, so fail on Windows/MSVC.",1.0,0.39040723981900455,0.02397450110864745,0.2556818181818182
agent should not send `TASK_GONE_BY_OPERATOR` if the framework is not partition aware.,1.0,0.4779868222592681,0.6644955654101996,0.5852272727272727
Agent could fail to report completed tasks.,2.0,0.0,0.3883037694013304,0.19318181818181818
Java bindings sporadically fail to build,3.0,0.26728696741854635,0.16449556541019955,0.08238636363636365
Standalone container documentation,3.0,0.39040723981900455,0.6985171840354767,0.6590909090909091
53598228fe should be backported to 1.7.x,1.0,0.4779868222592681,0.008938470066518846,0.2528409090909091
The agent crashes after the disk du isolator supporting rootfs checks.,2.0,0.26630745415575136,0.6644955654101996,0.5852272727272727
Master does not handle returning unreachable agents as draining/deactivated,3.0,0.39040723981900455,0.5641629711751663,0.29261363636363635
Removal of a role from the suppression list should be equivalent to REVIVE.,3.0,0.3282017543859649,0.6599916851441241,0.35511363636363635
DRF sorter may omit clients in sorting after removing an inactive leaf node.,3.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
OperationReconciliationTest.FrameworkReconciliationRaceWithUpdateSlaveMessage is severely flaky,2.0,0.26728696741854635,0.11252771618625278,0.29545454545454547
MasterQuotaTest.RescindOffersEnforcingLimits is flaky,1.0,0.41327067669172934,0.11252771618625278,0.29545454545454547
Health check performance decreases on large machines,5.0,0.4779868222592681,0.6985171840354767,0.40909090909090906
SSL socket error logging can be improved.,1.0,0.0,0.2933065410199557,0.11647727272727273
jsonify uses non-standard mapping for protobuf map fields.,3.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Mesos failed to build due to fatal error C1083 on Windows using MSVC.,1.0,0.39040723981900455,0.02397450110864745,0.2556818181818182
Test various agent state transitions involving agent draining,5.0,0.39040723981900455,0.6985171840354767,0.6590909090909091
/roles and GET_ROLES does not always expose parent roles.,3.0,0.3282017543859649,0.6599916851441241,0.35511363636363635
/roles and GET_ROLES do not expose roles with only static reservations,3.0,0.3282017543859649,0.6599916851441241,0.35511363636363635
RoleTest.RolesEndpointContainsConsumedQuota is flaky.,1.0,0.3282017543859649,0.6599916851441241,0.35511363636363635
Enable libprocess users to pass a custom SSL context when using Socket,5.0,0.26728696741854635,0.16449556541019955,0.08238636363636365
Expose quota consumption in /roles endpoint.,3.0,0.3282017543859649,0.6599916851441241,0.35511363636363635
Make PushGauges support floating point stats.,1.0,0.3282017543859649,0.3883037694013304,0.4431818181818182
/roles endpoint should return both guarantees and limits. ,2.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Update Docker executor to allow kill policy overrides,3.0,0.4779868222592681,0.6985171840354767,0.40909090909090906
Slow memory growth in master due to deferred deletion of offer filters and timers.,3.0,0.3282017543859649,0.6599916851441241,0.35511363636363635
Add docs for automatic agent draining,5.0,0.4779868222592681,0.6985171840354767,0.40909090909090906
`QuotaRoleAllocateNonQuotaResource` is failing.,2.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Agent kills all tasks when draining,2.0,0.4779868222592681,0.6985171840354767,0.40909090909090906
Add `updateQuota()` method to the allocator.,5.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Update the agent's behavior when marked GONE,5.0,0.0,0.6985171840354767,0.40909090909090906
Implement minimal agent-side draining handler,2.0,0.4779868222592681,0.6985171840354767,0.40909090909090906
Add minimum master capability for draining and deactivation states,3.0,0.0,0.5641629711751663,0.29261363636363635
Add draining state information to master state endpoints,3.0,0.4779868222592681,0.5641629711751663,0.5426136363636364
Deprecate maintenance primitives,5.0,0.0,0.6985171840354767,0.40909090909090906
Track role consumed quota for all roles in the allocator.,3.0,0.0,0.3883037694013304,0.19318181818181818
Add achievability validation for update quota call.,5.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Don't use reverse DNS for hostname validation,5.0,0.26728696741854635,0.16449556541019955,0.08238636363636365
Reject certificate-less ciphers when certificate verification is enabled,5.0,0.0,0.16449556541019955,0.08238636363636365
Use OpenSSL built-in functions for hostname validation,5.0,0.0,0.16449556541019955,0.08238636363636365
Introduce a `struct Quota` wrapper.,5.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Address allocator performance regression due to the addition of quota limits.,5.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Remove quota role sorter in the allocator.,2.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Race between two REMOVE_QUOTA calls crashes the master.,2.0,0.41327067669172934,0.11252771618625278,0.29545454545454547
Centos 6 RPM build is broken on Apache CI,1.0,0.26728696741854635,0.16449556541019955,0.08238636363636365
Random sorter fails to clear removed clients.,1.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Randomized the agents in the second allocation stage.,1.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
/__processes__ endpoint can hang.,3.0,0.3282017543859649,0.6599916851441241,0.35511363636363635
Log required quota headroom and available quota headroom in the allocator.,2.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Take ports out of the GET_ROLES endpoints.,3.0,0.3282017543859649,0.3883037694013304,0.4431818181818182
Agent V1 GET_STATE response may report a complete executor's tasks as non-terminal after a graceful agent shutdown,2.0,0.39040723981900455,0.5641629711751663,0.29261363636363635
Invalid protobuf unions in ExecutorInfo::ContainerInfo will prevent agents from reregistering with 1.8+ masters,3.0,0.26728696741854635,0.5641629711751663,0.5426136363636364
Random sorter generates non-uniform result for hierarchical roles.,3.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Heartbeat calls from executor to agent are reported as errors,1.0,0.39040723981900455,0.5641629711751663,0.29261363636363635
Flatten the weighted shuffling in the random sorter.,1.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Apply in place permutation to avoid copying when doing random shuffling.,3.0,0.41327067669172934,0.3883037694013304,0.19318181818181818
Support specifying file name in URI fetcher fetch() interface.,3.0,0.0,0.6644955654101996,0.3352272727272727
Add tests to ensure random sorter performs correct weighted sorting.,3.0,0.3282017543859649,0.6599916851441241,0.35511363636363635
Release Mesos 1.8.0.,5.0,0.26728696741854635,0.2879711751662971,0.3977272727272727
