Summary,Custom field (Story Points),Assignee_count,Reporter_count,Creator_count
Simplify Central SSO: eliminate ext token validation end-point,3.0,0.14409529106414534,0.2878205128205128,0.19166666666666665
Add smtp message-id to logs,3.0,0.2879746835443038,0.3967948717948718,0.2333333333333333
Error occuring when clicking link to activate organization,3.0,0.2879746835443038,0.3967948717948718,0.2333333333333333
Fix AwsAssetResourceIT,3.0,0.2879746835443038,0.3967948717948718,0.2333333333333333
GET on missing Asset file in S3 generates 500 error not 404,1.0,0.2879746835443038,0.3967948717948718,0.2333333333333333
Create 2.1 Release for Apache,3.0,0.14409529106414534,1.0,1.0
Ensure that PUT or POST does not create duplicate org association connections. ,2.0,0.2879746835443038,0.3967948717948718,0.2333333333333333
Add DELETE for Admin Users,2.0,0.2879746835443038,0.3967948717948718,0.2333333333333333
Fix GroupResourceIT.postGroupActivity() test,3.0,0.14409529106414534,0.2878205128205128,0.19166666666666665
Fix EventsResource and IT,3.0,0.2879746835443038,0.2878205128205128,0.6916666666666667
Fix test: clientCredentialsFlowWithHeaderAuthorization(),3.0,0.14409529106414534,0.2878205128205128,0.19166666666666665
Unique Value Cleanup in 2.1 - cleaning up old columns for old versions,3.0,0.0,1.0,0.5
[SPIKE] Evaluate read repair of unique values in 1.0,1.0,0.2879746835443038,0.3333333333333333,0.7083333333333333
Test Windows phone,1.0,0.8453837597330367,0.3333333333333333,0.7083333333333333
Test Android push notifications,1.0,0.8453837597330367,0.3333333333333333,0.7083333333333333
Test iOS push notifications,1.0,0.8453837597330367,0.3333333333333333,0.7083333333333333
implement build metrics in jenkins,1.0,0.8453837597330367,0.5262820512820513,0.26666666666666666
Create a per app migration script,2.0,0.14409529106414534,0.3333333333333333,0.7083333333333333
Ability to generate a master Jacoco coverage report,3.0,0.14409529106414534,0.2878205128205128,0.19166666666666665
When ElasticSearch rejects a Search request Usergrid should not return 200 OK with an empty array,1.0,0.2879746835443038,1.0,1.0
When reading messages from SQS an elevated consistency may be needed with latent replication,3.0,0.7045591425119533,0.3333333333333333,0.20833333333333331
2.1-release: fix index batching from SQS reader,3.0,0.8453837597330367,0.5262820512820513,0.26666666666666666
Fix NoAwsCreds rule to work outside of core. ,2.0,0.2879746835443038,0.3967948717948718,0.2333333333333333
"When PUTing by uuid or name, add the entry into entity_id_sets column family",3.0,0.7045591425119533,0.3333333333333333,0.20833333333333331
Delete from collection does not use SQS or the event service,3.0,0.8453837597330367,0.5262820512820513,0.26666666666666666
remove batching in index processing,1.0,0.8453837597330367,0.5262820512820513,0.26666666666666666
Create a job to remove duplicate connections and fix connection write logic,3.0,0.7045591425119533,0.3333333333333333,0.20833333333333331
Create a job to clean unused edges,3.0,0.7045591425119533,0.3333333333333333,0.20833333333333331
Remove UUID field encoding in our ES fields,3.0,0.8453837597330367,0.3333333333333333,0.7083333333333333
Test Notification Migration ,3.0,0.8453837597330367,0.5262820512820513,0.26666666666666666
Automate upload of api baas 2.1 build to s3,3.0,0.0,0.5262820512820513,0.26666666666666666
Add Background processing for delete application,2.0,0.8453837597330367,0.5262820512820513,0.26666666666666666
get apm/apigeeMobileConfig throws exception when its not set,3.0,0.8453837597330367,0.5262820512820513,0.26666666666666666
Separate database system and system bootstrap,3.0,0.7045591425119533,0.3333333333333333,0.20833333333333331
Style generated Docs like the Website,3.0,0.14409529106414534,0.2878205128205128,0.19166666666666665
Create a tool with the capability to wipe an application from Cassandra,3.0,0.8453837597330367,1.0,1.0
Include distances in geoquery responses,3.0,0.8453837597330367,1.0,1.0
Remove duplicate add to collection on write path,3.0,0.2879746835443038,1.0,1.0
Upgrade Shiro to be current version,1.0,0.14409529106414534,1.0,1.0
run specific migration,1.0,0.8453837597330367,0.5262820512820513,0.26666666666666666
Batch interval in seconds not honored,3.0,0.7045591425119533,0.3333333333333333,0.20833333333333331
Unable to do case sensitive queries using '=',3.0,0.2879746835443038,0.3967948717948718,0.2333333333333333
