Issue Type,Summary,Description,Custom field (Story Points),Version,Contributors,Developer_Rank,Developer_commits,Developer_created_MRs,Developer_modified_files,Developer_commits_reviews,Developer_updated_MRs,Developer_fixed_defects,Developer_ARs,Tester_detected_defects,Tester_ARs,Creator_ARs,Version_encoded
Bug,Reactivating a draining agent leaves the agent in draining state.,"When reactivating an agent that's in the draining state, the master erases it from its draining maps, and erases its estimated drain time._x000D_
_x000D_
However, it doesn't send any message to the agent, so if the agent is still draining and waiting for tasks to terminate, it will stay in that state, ultimately making any tasks that then get launched get DROPPED due to the agent still being in a draining state._x000D_
_x000D_
Seems like we should either:_x000D_
_x000D_
* Disallow the user from reactivating if still in draining, or_x000D_
* Send a message to the agent, and have the agent move itself out of draining.",3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9122807017543859,0.75,0.6282051282051282,0.7515151515151515,0.7515151515151515,0.0
Improvement,Agent draining logging makes it hard to tell which tasks did not terminate.,"When draining an agent, it's hard to tell which tasks failed to terminate._x000D_
_x000D_
The master prints a count of the tasks remaining (only as VLOG(1) however), but not the IDs:_x000D_
_x000D_
{noformat}_x000D_
I1223 13:19:49.021764 30480 master.cpp:6367] DRAINING Agent c0146010-8af6-4a9d-bcdb-99e30a778663-S6 has 0 pending tasks, 1 tasks, and 0 operations_x000D_
{noformat}_x000D_
_x000D_
The agent does not print how many or which ones._x000D_
_x000D_
It would be helpful to at least see which tasks need to be drained when it begins, and possibly, upon each check, which ones remain.",1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9122807017543859,0.75,0.6282051282051282,0.7515151515151515,0.7515151515151515,0.0
Bug,Master's agent draining VLOG prints incorrect task counts.,"This logic is printing the framework counts of these maps rather than the task counts:_x000D_
_x000D_
https://github.com/apache/mesos/blob/4575c9b452c25f64e6c6cc3eddc12ed3b1f8538b/src/master/master.cpp#L6318-L6319_x000D_
_x000D_
{code}_x000D_
  // Check if the agent has any tasks running or operations pending._x000D_
  if (!slave->pendingTasks.empty() ||_x000D_
      !slave->tasks.empty() ||_x000D_
      !slave->operations.empty()) {_x000D_
    VLOG(1)_x000D_
      << ""DRAINING Agent "" << slaveId << "" has ""_x000D_
      << slave->pendingTasks.size() << "" pending tasks, ""_x000D_
      << slave->tasks.size() << "" tasks, and ""_x000D_
      << slave->operations.size() << "" operations"";_x000D_
    return;_x000D_
  }_x000D_
{code}_x000D_
_x000D_
Since these are {{hashmap<FrameworkID, hashmap<TaskID, Task>>}}.",1.0,1.9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9122807017543859,0.75,0.6282051282051282,0.7515151515151515,0.7515151515151515,1.0
Task,Implement SSL downgrade on the native SSL socket,"The new SSL socket implementation (the non-libevent one) does not currently implement the SSL downgrade hack.  We could probably use {{peek}} to achieve the same result, or modify our socket BIO to look at the first few bytes.",3.0,0,0.0,0.3499245852187029,0.0,0.0,0.0,0.6000000000000001,0.4,1.0,0.8071428571428572,0.5769230769230769,0.6181818181818182,0.6242424242424242,0.0
Task,Implement chmod() support for stout,"When using executor domain sockets, we need to be able to change permissions on the domain socket to 0600. To do that, we should implement a new function `os::chmod()` in stout.",1.0,0,0.0,0.0,0.3333333333333333,0.5,0.14285714285714285,0.0,0.2,0.5087719298245614,0.4357142857142857,0.16666666666666666,0.1818181818181818,0.17575757575757575,0.0
Task,Let the command executor connect through a domain socket when available,"If the command executor is using the v1 API (--http_command_executors agent flag) and the MESOS_DOMAIN_SOCKET environment variable is set, the command executor should use the domain socket to communicate with the agent or die trying.",3.0,0,0.0,0.0,0.3333333333333333,0.5,0.14285714285714285,0.0,0.2,0.5087719298245614,0.4357142857142857,0.16666666666666666,0.1818181818181818,0.17575757575757575,0.0
Task,Validate task's resources limits and the `share_cgroups` field,"When launching a task, we need to validate:_x000D_
 # Only CPU and memory are supported as resource limits._x000D_
 # Resource limit must be larger than resource request._x000D_
 # `TaskInfo` can only include resource limits when the relevant agent possesses the TASK_RESOURCE_LIMITS capability._x000D_
 # The value of the field `share_cgroups` should be same for all the tasks launched by a single default executor._x000D_
 # It is not allowed to set resource limits for the task which has the field `share_cgroups` set as true._x000D_
_x000D_
We also need to add validation to the agent which will ensure that non-debug 2nd-or-lower-level nested containers cannot be launched via the {{LaunchContainer}} call.",3.0,0,0.5,0.11161387631975868,0.0,0.0,0.0,1.0,0.8,0.894736842105263,1.0,0.23076923076923075,0.296969696969697,0.296969696969697,0.0
Bug,Libprocess SSL verification can leak memory,"In {{process::network::openssl::verify()}}, when the SSL hostname validation scheme is set to ""openssl"", the function can return without freeing an {{X509}} object, leading to a memory leak.",1.0,1.9.0,0.5,0.0,0.3333333333333333,0.5,0.14285714285714285,0.0,0.2,0.5087719298245614,0.4357142857142857,0.6025641025641025,0.8242424242424242,0.8181818181818181,1.0
Bug,Agent's 'executorTerminated()' can cause double task status update,"When the agent first receives a task status update from an executor, it executes {{Slave::statusUpdate()}}, which adds the task ID to the {{Executor::pendingStatusUpdates}} map, but leaves the ID in {{Executor::launchedTasks}}._x000D_
_x000D_
Meanwhile, the code in {{Slave::executorTerminated()}} is not capable of handling the intermediate task state which exists in between the execution of {{Slave::statusUpdate()}} and {{Slave::_statusUpdate()}}. If {{Slave::executorTerminated()}} executes at that point in time, it's possible that the task will be transitioned to a terminal state twice (for example, it could be transitioned to TASK_FINISHED by the executor, then to TASK_FAILED by the agent if the executor suddenly terminates)._x000D_
_x000D_
If the agent has already received a status update from an executor, that state transition should be honored even if the executor terminates immediately after it's sent. We should ensure that {{Slave::executorTerminated()}} cannot cause a valid update received from an executor to be ignored.",3.0,1.9.0,0.0,0.11161387631975868,0.0,0.0,0.0,1.0,0.8,0.894736842105263,1.0,0.6025641025641025,0.8242424242424242,0.8181818181818181,1.0
Improvement,Log all reverse DNS lookup failures in 'legacy' TLS (SSL) hostname validation scheme.,"There were being logged at VLOG(2):_x000D_
_x000D_
https://github.com/apache/mesos/blob/1.9.0/3rdparty/libprocess/src/openssl.cpp#L859-L860_x000D_
_x000D_
In the same spirit as MESOS-9340, we'd like to log all networking related errors as warnings and include any relevant information (IP address, etc).",1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9122807017543859,0.75,0.6282051282051282,0.7515151515151515,0.7515151515151515,0.0
